,城市,City,Household Registered Population at Year-end (10 000 persons),Annual Average Population (10 000 persons),Number of Households at Year-end (10 000 households),Birth Population (person),Death Population (person),Natural Growth Rate(%),Total Land Area of Administrative region （sq.km）,Total Water Resources （10 000 cu.m）,Area of Land Used for Urban Construction (sq.km),Area of Land Used for Living,Land Used for Urban Construction as Percentage to Urban Area (%),Area of Green Land (hectare),Area of Parks Green Land,Green Covered Area as % of Built-up Area (%),Volume of Industrial Waste Water Discharged (10 000 tons),Volume of Industrial Sulphur Dioxide Emission (ton),Volume of Industrial Nitrogen Dioxide Emission (ton),Volume of Industrial  Soot(dust) Emission (ton),Ratio of Industrial Solid Wastes Comprehensively Utilized (%),Annual Mean Concentration ofPM2.5 (ug/m3),Ratio of waste Water Centralized Treated of Sewage Work (%),Ratio of Consumption Wastes Treated (%),Gross Regional Product (Current Prices) (100 000 yuan),Per Capita GRP (yuan),GRP Growth Rate (%),Primary Industry as Percentage to GRP,Secondary Industry as Percentage to GRP,Tertiary Industry as Percentage to GRP,Local General public budget revenue,Local General public budget Expenditure,Expenditure for Science and Technology,Expenditure for Education,Local General public budget revenue.1,Local General public budget Expenditure.1,Expenditure for Science and Technology.1,Expenditure for Education.1,Deposits of National Banking System at Year-end,Household Saving Deposits at Year-end,Loans of National Banking System at Year-end,Investment in Real Estate Development,Residential Buildings,Sales Area of Commercial Residential Building,Residential Buildings.1,Area for Sale,Import Volumeof goods (10 OOOyuan),Number of Projects for Contracted Foreign Direct Investment (unit),Amount of Foreign Capital Actually Utilized (USD 10000),Number of Industrial Enterprises,Domestic Funded,"Enterprises with Funds from Hong Kong, Macao and Taiwan",Foreign Funded Enterprises,Total Current Assets,Total Fixed Assets,Tax and Extra Charges from Principal Business,Value-added Tax Payable,Total Profits,Total Retail Sales of Consumer Goods (10 000 yuan),Number of Enterprises above Designated Size of Wholesale and Retail Trades (Number of Legal Entities) (unit),Total Sales of Commodities of Enterprises above Designated Size in Wholesale and Retail Trades (10 000 yuan),R&D Personnel (Person),R&D Internal Outlay (10 000 yuan),Number of Patent Applications (piece),Number of Patent Authorizations (piece),Invention (piece),Persons Employed in Urban Units at Ycar-end,Persons Employed in Private Enterprises and Self-Employed Individuals in Urban Areas,Registered Unemployed Persons in Urban Areas,Primary Industry,Secondary Industry,Tertiary Industry,Primary Industry.1,Secondary Industry.1,Tertiary Industry.1,Primary Industry.2,Secondary Industry: Mining,Unnamed: 87,Manufacturing,"Production and Distribution of Electricity, Gas and Water",Construction,Wholesale and Retail Trades,"Traffic,Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, Computer Services and Software",Financial Intermediation,Unnamed: 103,Real Estate,Leasing and Business Services,Scientific Research and Technical Service,"Management of Water Conservancy, Environment",Services to Households and Other Services,Education,Health and Social Work,"Culture, Sports and Entertainment","Public Management, Social Security and Social Organization",Average Number of Employed Staff and Workers (10 000 persons),Total Wage Bill of Employed Staff and Workers (10 000 yuan),Average Wage of Employed Staff and Workers (yuan),Regular Institutions of Higher Education,Vocational Secondary Schools,Regular Secondary Schools,Regular Primary Schools,Regular Institutions of Higher Education.1,Vocational Secondary Schools.1,Regular Secondary Schools.1,Regular Primary Schools.1,Undergraduate in Regular HEIs,Vocational Secondary Schools.2,Regular Secondary Schools.2,Regular Primary Schools.2,Collections of Public Libraries (10 000 copies),Number of Museums (unit),Number of Stadiums and Gymnasiums (unit),Number of Hospitals (unit),Number of Beds of Hospitals (bed),Number of Licensed (Assistant) Doctors (person),Number of Employees Joining Urban Basic Pension Insurance,Number of Employees Joining Urban Basic Medical Care System,Persons Covered of Unemployment Insurance,Investment in Municipal Public Infrastructure Construction （10 000 yuan）,Area of City Paved Roads at Year-end （10 000 sq.m）,Length of City Sewage Pipes （km）,Number of Buses and Trolley Buses under Operation at Year-end （unit）,Total Annual Volume of Passengers Transported by Buses and Trolley Buses （10 000 person-times）,Number of Taxis under Operation at Year-end （unit）,Highway Passenger Traffic,Waterway Passenger Traffic,Civil Aviation Passenger Traffic,"Highway Freight Traffic
(10 000 tons)","Waterway Freight Traffic
(10 000 tons)",Civil Aviation Freight Traffic (ton),Revenue from Postal Services (10 000 yuan),Revenue from Telecommunication Services (10 000 yuan),Number of Subscribers of Mobile Telephones at Year-end (10 000 households),Number of Subscribers of Internet Services (10 000 households),Annual Electricity Consumption (10 000 kwh),Electricity Consumption fbr Industrial,Household Electricity Consumption for Urban and Rural Residential,"Total Gas Supply (Coal Gas,Natural Gas) (10 000 cubic meters)",Consumption of Gas for Residential Use,Liquefied Petroleum Gas Supply (ton),Consumption of Liquefied Petroleum Gas fbr Residential Use
181,许昌市,Xuchang,509,509,155,60512,37025,4.61,4997,55371,115.0,43.0,10.46,3965.0,835.0,41.28,2391.0,7513.0,12337.0,6357.0,97.67,63.0,,,28306218,63996,8.57,5.24,57.76,37,1661371.0,3187361.0,64666.0,640340.0,852571.0,1391121.0,35180.0,260609.0,23205870,15664132,17481535,3032199,2496092,671,618,65,92429,7,75868,1574,1559,8,7,18261904,11800865,997333,903273,3967075,8737688,611,4388783,11673.0,582153,11002.0,6394.0,546.0,434397,527995,29939,19,246609,187769,,56.77,43.23,19,17235,36,191114,7548,30712,14058,7063,2902,3047,8541,5093,10166,4926,4151,5692,1291,42427,25966,2841,54698,41,2438076,59223,,25,228,835,,1962,19172,24912,,29562,27,42,130,17,8,103,18739,9951,746290,441735,285000,,1791.0,166.0,1348.0,7170.0,1396.0,4592.0,,,10482.0,,,91505.0,264962.0,422.0,108.0,1374274,818902,137290,12847.0,6470.0,5893.0,576.0
182,资阳市,Ziyang,346,348,128,31671,29926,0.5,5748,175000,47.0,10.0,2.88,1722.0,590.0,36.11,262.0,1379.0,725.0,1948.0,98.94,36.0,96.77,89.5,10665332,42117,7.8,15.64,47.59,36.77,528490.0,1917986.0,20008.0,308590.0,307273.0,1052379.0,15541.0,109720.0,14187511,9679725,7068914,1324073,1150719,431,400,,47072,8,8200,325,313,5,7,2579159,2323041,55717,98993,388429,3789801,161,1713626,1066.0,19236,830.0,545.0,50.0,187198,187749,14546,57,85646,101495,0.03,45.75,54.22,57,,,31250,1441,52955,4106,6315,819,2521,12126,10304,4103,1997,2441,2365,135,24744,15146,1340,23337,15,984669,66560,1,7,195,180,218,857,11809,7401,4787,19855,14,18,111,1,7,47,12145,5402,491033,229306,103192,575542.0,688.0,760.0,242.0,1683.0,438.0,2653.0,,,4406.0,239.0,,38325.0,128825.0,224.0,57.0,262215,85672,44194,5028.0,3220.0,3000.0,2340.0
183,泰州市,Taizhou,503,504,166,42299,42578,-0.06,5787,204840,129.0,30.0,8.23,6002.0,1446.0,43.0,4312.0,10580.0,15283.0,5929.0,91.0,47.0,82.7,99.6,51076300,109988,6.7,5.48,47.65,46.86,3571517.0,5323571.0,151232.0,748948.0,1870018.0,2493734.0,95178.0,333689.0,61193781,28766277,47840384,3450651,2753730,694,629,283,3413402,54,150731,2785,2520,95,170,34346000,23187868,474449,2272855,4555100,12828741,1129,23811430,,,35131.0,15633.0,1268.0,1139614,779098,16604,1456,887729,250429,0.13,77.9,21.97,1456,,,221222,6113,660394,25126,24884,4657,7228,23957,10281,9315,11381,7781,5913,1350,49513,31340,2246,45738,99,6997326,70851,7,14,181,138,3279,1739,18769,13867,63413,27481,17,23,341,19,9,79,20253,12251,1310023,1390128,687958,395129.0,2796.0,1966.0,1092.0,12625.0,1033.0,6057.0,324.0,,3041.0,18715.0,,199201.0,428378.0,471.0,166.0,2861359,2057352,159096,40916.0,5641.0,11421.0,9028.0
184,北海市,Beihai,178,178,45,29723,5328,13.69,3989,266000,82.0,24.0,6.68,3009.0,546.0,40.56,1340.0,4728.0,5699.0,10074.0,96.66,27.0,95.28,100.0,12133010,72581,8.29,16.58,48.07,35.35,716832.0,1755302.0,45606.0,309437.0,639218.0,1229171.0,45163.0,186895.0,10920646,6537489,7537742,2022789,1636810,410,398,170,1544131,24,5085,229,196,24,9,6021307,,1003187,639695,950866,2653866,161,2167497,1418.0,63248,1536.0,544.0,212.0,135564,468276,5139,5954,43417,86193,4.39,32.03,63.58,5954,1112,863,28126,1957,12222,4562,3930,2197,1959,6131,5361,3231,4089,2599,3579,186,22187,10957,1062,19524,12,807502,69625,4,6,96,328,2200,736,8650,8529,48809,25179,11,16,72,1,6,27,6056,3618,298804,234247,129272,133724.0,1306.0,916.0,539.0,2210.0,555.0,1858.0,365.0,22X,6674.0,1065.0,6446.0,32530.0,156658.0,214.0,58.0,813169,506795,134575,3904.0,3070.0,21502.0,16500.0
185,宜宾市,Yibin,552,554,170,63039,34813,5.11,13271,736622,121.0,24.0,2.53,4568.0,1596.0,39.3,5900.0,22442.0,15021.0,9990.0,98.62,52.0,89.67,100.0,20263707,44604,9.2,12.27,49.68,38.05,1608883.0,4160183.0,18981.0,805934.0,1062929.0,2275402.0,9915.0,405932.0,29761184,14240843,16369124,3120393,2290628,746,567,159,361100,3,4010,766,757,6,3,16801518,10263448,1017162,1143207,3810834,9306732,445,4679650,9706.0,244450,2817.0,1724.0,665.0,381893,492142,27382,1738,188250,191905,0.46,49.29,50.25,1738,7962,,99503,9651,71134,7170,8242,1573,2512,20853,18308,6475,4215,2176,2110,452,54666,25478,2062,53921,34,2728088,79865,2,21,280,306,1414,2977,19479,21349,28200,70178,27,38,134,9,16,135,25106,9684,1004673,531738,253948,274942.0,1664.0,836.0,1108.0,15783.0,1450.0,4060.0,109.0,97,6574.0,624.0,3225.0,75439.0,291359.0,463.0,123.0,1124125,766006,112995,24509.0,19284.0,1011.0,927.0
186,宣城市,Xuanchcng,279,280,99,26900,32758,-2.1,12313,977700,60.0,15.0,2.32,4053.0,552.0,41.6,1564.0,10000.0,11589.0,10832.0,94.6,44.0,94.82,100.0,13172047,50065,8.3,10.28,48.71,41.01,1530702.0,2893598.0,139447.0,428450.0,267822.0,512039.0,12046.0,79348.0,18011969,10032074,13811523,1978551,1690774,563,503,95,98309,18,112397,1491,1457,13,21,9387456,7468577,131191,510318,1377338,5212329,336,2973355,10900.0,232381,7213.0,3271.0,740.0,209141,405595,9136,1312,99756,108073,0.63,47.7,51.67,1312,82,,71316,1266,27092,6207,4130,1505,2632,11811,7930,4966,3646,682,2191,104,20740,13292,1193,34974,19,1377523,72357,1,13,150,159,281,1495,8729,8875,7180,29183,10,13,128,12,38,47,10824,5506,576978,343357,183714,396974.0,1220.0,885.0,283.0,2396.0,999.0,2262.0,8.0,,9586.0,9263.0,,68540.0,198682.0,249.0,77.0,1247308,887480,77123,7496.0,1396.0,4200.0,2680.0
187,鹰潭市,Yingtan,129,128,37,16768,3488,10.33,3560,302900,38.0,10.0,27.94,1464.0,350.0,38.92,1141.0,4212.0,1673.0,1739.0,84.23,34.0,79.1,100.0,8189787,69923,8.7,6.88,55.04,38.08,806323.0,1401841.0,58214.0,241778.0,294799.0,522151.0,11089.0,63396.0,7760139,4511087,6782461,623017,447514,180,166,23,2533621,98,31589,293,279,8,6,11959113,6978531,169945,553682,892068,2207915,178,2310041,,,2706.0,2803.0,43.0,157069,258226,10344,9028,86068,61973,5.75,54.8,39.46,9028,420,,54941,1795,28912,3485,6253,1924,1236,5418,5418,1885,1278,2206,1660,69,13816,4842,572,17329,15,1078829,71481,2,13,87,250,384,288,4932,6545,9207,10618,8,11,42,5,26,33,5697,2683,246099,137438,95002,11000.0,382.0,284.0,297.0,2774.0,271.0,1808.0,,,4867.0,258.0,,26718.0,74409.0,91.0,36.0,479310,336833,30512,4117.0,655.0,2752.0,2067.0
188,枣庄市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,大庆市,Daqing,273,273,104,17424,40574,-8.48,21219,236300,323.0,78.0,6.32,13441.0,1801.0,43.68,3683.0,13286.0,30844.0,8638.0,61.58,27.0,95.3,96.99,28011583,102639,3.54,7.13,53.95,38.92,1508652.0,3006786.0,7125.0,445152.0,1389126.0,1983658.0,5946.0,297049.0,24876037,16875795,10868568,640645,428874,131,120,85,9358995,3,39551,418,404,5,9,18957133,,2455860,1735304,2568478,12477902,236,17963991,9474.0,193000,3210.0,1875.0,283.0,491708,,38074,9769,238800,243139,1.99,48.57,49.45,9769,132647,132375,57108,9477,39568,14016,13954,1274,6565,26740,25345,10436,1108,42655,5484,19650,40448,21046,2825,36938,45,4015945,89756,6,13,142,166,3373,787,14554,8152,62551,5140,16,12,152,9,66,116,16728,9913,692075,510282,179121,44594.0,3674.0,2542.0,1932.0,13910.0,3350.0,1102.0,36.0,83,3408.0,32.0,,51228.0,287039.0,434.0,75.0,2198766,1765435,170067,29600.0,8981.0,6415.0,4298.0
190,邢台市,Xingtai,797,793,246,110858,24433,10.85,12433,124600,106.0,42.0,,4310.0,1566.0,41.44,4137.0,13624.0,24838.0,36704.0,95.6,71.0,97,100.0,21507611,29210,7,12.34,40.77,46.89,1490014.0,4948361.0,29004.0,974252.0,564027.0,1122814.0,6380.0,268205.0,41757544,29913571,27733005,2319133,1896670,331,301,18,35703,23,63764,1338,1302,9,27,13099440,15552817,137125,501982,1332590,11481129,343,4132149,,827,6870.0,4603.0,201.0,373100,,20739,500,115762,256838,0.13,31.03,68.84,500,20318,20202,55708,18100,21636,9078,7438,1952,3321,22775,17836,3738,2691,4423,11324,288,75753,33613,2103,78341,33,2167747,65235,4,61,283,1042,2593,4479,28878,41800,51685,52182,41,71,185,6,25,204,29574,19902,953094,704864,365430,253620.0,1623.0,1200.0,1195.0,10720.0,2863.0,2023.0,5.0,,23731.0,,,169156.0,376423.0,668.0,185.0,2763152,1798194,146710,26203.0,13016.0,923.0,923.0
191,白城市,Baicheng,190,190,86,10314,8965,0.71,25759,256000,45.0,12.0,1.75,1488.0,202.0,34.25,426.0,3422.0,3658.0,4600.0,77.94,,94.17,100.0,6065061,31849,2.1,19.34,32.94,47.72,410891.0,2708541.0,12740.0,284414.0,157250.0,770610.0,5038.0,70174.0,8302250,5145989,7475034,308505,240980,15,11,9,18165,1,1000,349,333,6,10,,,,,,3306511,68,883483,,,476.0,289.0,19.0,181326,234186,12822,15643,29876,135807,8.63,16.48,74.9,15643,44,44,16094,4402,9336,5520,3685,902,1936,8701,8242,1817,3853,6212,6371,4436,30177,14499,2309,45389,17,875976,52514,3,14,120,100,1069,966,9361,7268,20613,7507,8,8,58,6,17,43,6562,4977,450237,213459,140210,47008.0,351.0,349.0,276.0,1004.0,1815.0,1288.0,,6,1743.0,17.0,98.0,30217.0,106121.0,204.0,36.0,475436,252503,52196,1951.0,80.0,2701.0,2680.0
192,鄂州市,Ezhou,111,108,38,12147,6311,5.24,1596,75507,35.0,9.0,2.19,1314.0,449.0,43.22,,,,,,,93.22,100.0,10053000,93317,8.2,9.37,52.09,38.54,579275.0,1225496.0,30040.0,195057.0,579275.0,1225496.0,30040.0,195057.0,7262900,3982600,5180400,367145,325559,130,129,4,270000,6,3857,499,481,9,9,2940000,2808500,77525,300919,487997,3790408,52,2836203,3397.0,116203,1708.0,576.0,60.0,225824,127675,7798,258,147629,77937,0.11,65.37,34.51,258,6589,6589,79195,1733,60112,13320,5768,4674,1887,2946,2946,4553,2782,1767,3151,1843,13411,8222,1516,12097,21,1096931,51741,1,10,47,249,726,234,3937,4764,14995,6150,5,7,105,1,4,20,4205,2219,307374,176469,87471,220828.0,531.0,756.0,425.0,4246.0,520.0,1855.0,39.0,,2021.0,579.0,,43771.0,84390.0,93.0,33.0,671500,525200,51000,5191.0,4016.0,7068.0,7000.0
193,南充市,Nanchong,728,728,264,67738,39529,3.87,12477,432300,145.0,53.0,5.74,5668.0,1755.0,44.28,609.0,1092.0,1585.0,34690.0,52.5,,,,20060333,31203,9,19.04,41.08,39.89,1138963.0,4952197.0,19568.0,844105.0,631670.0,2109258.0,14436.0,304523.0,32926564,23973681,19611715,3100303,2383318,935,828,124,32967,,8500,748,737,6,5,5440797,9265052,327262,300303,1956966,9599826,411,3907848,18491.0,,1776.0,1399.0,59.0,438487,756791,27764,683,166626,271178,0.16,38,61.84,683,375,310,56733,8608,100910,10062,14285,2513,5862,20438,15295,8169,19070,5207,10979,701,71763,30971,3403,67755,40,2827996,71344,4,37,488,265,3617,2737,31820,15182,76212,57632,30,36,194,8,16,165,31167,13805,1217898,569734,197895,419350.0,2075.0,1744.0,788.0,11000.0,1207.0,4963.0,713.0,94,8704.0,1612.0,3720.0,70506.0,329773.0,566.0,135.0,749135,281075,129060,21785.0,9552.0,5877.0,4810.0
194,渭南市,Weinan,546,546,172,61134,43433,3.24,13134,81700,73.0,28.0,5.78,2302.0,741.0,39.15,4301.0,95321.0,81425.0,9604.0,99.99,59.0,96.91,98.78,17677130,33009,7.1,16.79,41.99,41.22,839182.0,4459756.0,29547.0,821504.0,90857.0,523865.0,15707.0,129570.0,24357733,17928433,11631217,1541473,800685,233,183,108,16541,3,852,591,579,2,10,9270910,9010589,163810,377851,1033144,7198718,505,4017400,13622.0,208343,2167.0,862.0,162.0,481562,158691,14352,6282,189528,285752,1.3,39.36,59.34,6282,46180,,82114,11842,49392,19850,12911,7938,3374,24260,22716,6519,5020,8732,16541,6450,68631,27693,5060,72773,41,2240393,60579,1,36,332,755,1602,2025,26022,19957,16500,23590,27,29,136,5,25,163,20622,9680,618789,654720,326907,728990.0,1659.0,760.0,377.0,194.0,916.0,9390.0,14.0,,18366.0,75.0,,44728.0,313171.0,524.0,89.0,1501943,909993,68383,6980.0,3255.0,7866.0,6830.0
195,绍兴市,Shaoxing,447,447,161,37466,32728,1.06,8279,598192,235.0,80.0,7.93,8916.0,2311.0,42.94,24758.0,11074.0,13991.0,5597.0,93.39,37.0,95.6,100.0,54168952,107853,7.09,3.62,48.22,48.16,5013379.0,5566451.0,315725.0,1202789.0,3265992.0,3466330.0,172781.0,745088.0,82269775,40828737,74683142,7980641,6341382,1068,844,421,1941853,230,135141,4584,3984,379,221,44743727,,343183,1727692,3965880,20076104,2335,33061469,53865.0,1280970,47094.0,37288.0,3254.0,1150603,1365505,38464,106,897100,253397,0.01,77.97,22.02,106,1457,1277,255897,10978,628768,20023,13120,5926,4410,22515,20140,6113,8822,6544,9159,1404,63908,36518,3718,51217,111,8379398,75375,11,19,187,330,4782,3148,19565,16043,99270,47581,23,26,485,12,25,81,21651,15662,2367257,1927824,1206968,732219.0,3226.0,4144.0,2330.0,18546.0,1746.0,2798.0,107.0,,12596.0,1565.0,,73034.0,561948.0,730.0,219.0,4377184,3381429,248835,112340.0,13907.0,69653.0,43551.0
196,烟台市,Yantai,654,654,237,57816,56692,0.17,13865,219657,293.0,72.0,10.69,12290.0,3480.0,39.88,7509.0,16458.0,24306.0,12125.0,68.9,,97.22,100.0,78325800,110231,6.4,6.51,49.08,44.41,6366225.0,7559881.0,289873.0,1229062.0,3035645.0,3487896.0,212241.0,538304.0,76953006,44465844,52098404,5867279,4438804,1175,1078,211,12805974,282,266368,2378,1819,161,398,51781147,,704840,1476559,6574507,30794058,1321,27659091,45653.0,1870538,14039.0,7669.0,1364.0,954362,1085727,49559,408,520328,433626,0.04,54.52,45.44,408,35578,346,402872,12901,68977,41333,35583,10511,10937,34922,30913,30138,10889,17692,16084,1464,89153,48335,6095,80490,93,6928333,74653,12,52,260,290,11338,7405,34034,14549,234714,60831,29,26,833,34,65,193,31861,19486,2553260,2245528,1147951,283130.0,6240.0,3898.0,2199.0,32000.0,2183.0,5174.0,738.0,387,21389.0,4386.0,29100.0,78155.0,526933.0,838.0,209.0,5292471,4201137,263915,38412.0,7411.0,35963.0,13885.0
197,邵阳市,Shaoyang,828,827,249,75242,37536,4.55,20830,1158000,77.0,29.0,17.66,3123.0,950.0,41.82,1176.0,5028.0,6290.0,4440.0,83.8,42.0,80.76,96.64,17826481,24178,7.6,16.59,35.16,48.24,942359.0,5481565.0,33806.0,889498.0,352005.0,1099362.0,16816.0,126640.0,28537402,20474019,14191969,1902461,1465187,459,396,145,66616,5,30235,1410,1382,16,12,2485971,5923406,144765,133276,893178,9878703,905,5165215,6526.0,212048,4940.0,2734.0,76.0,363788,911807,3652,2994,133607,227187,0.82,36.73,62.45,2994,3526,108,42923,6557,80601,9234,9607,1672,3398,20995,17086,3994,2261,2230,4146,838,63001,35944,1388,68479,33,2078387,63871,3,64,467,1036,2053,2744,26394,28920,33634,75034,45,60,264,2,38,129,32588,14478,542000,548400,314300,103130.0,1369.0,620.0,559.0,7851.0,984.0,10720.0,27.0,47,22071.0,259.0,,116929.0,327428.0,500.0,122.0,909180,351675,128246,4859.0,3152.0,4300.0,3700.0
198,咸宁市,Xianning,305,305,90,46092,12162,11.12,9752,901200,56.0,25.0,3.73,4227.0,607.0,41.27,,,,,,,88.78,100.0,13624200,53655,8.5,13.72,48.65,37.63,913186.0,2483444.0,52106.0,356018.0,372805.0,818687.0,24200.0,116425.0,14991000,8408700,9609600,658659,560263,453,424,148,63594,14,4031,911,887,19,5,4396410,4128594,141183,608985,2224064,5561773,290,3259269,16500.0,104580,3764.0,1886.0,92.0,205557,313225,14521,476,43925,161156,0.23,21.37,78.4,476,387,12,29621,1678,12239,13109,5267,4958,5745,11079,9702,17719,1491,2764,3275,127,35045,19313,1496,39768,34,1716690,50157,2,15,148,361,1797,725,9099,12162,30554,16111,14,24,115,8,6,35,9787,6917,409303,262478,159931,16719.0,1262.0,298.0,262.0,2200.0,656.0,5720.0,78.0,,10864.0,13.0,,58918.0,205251.0,228.0,67.0,887256,544652,116528,15699.0,2588.0,4510.0,4030.0
199,临汾市,Lin fen,433,433,153,47343,16298,7.17,20275,101556,56.0,17.0,4.26,,661.0,38.68,,,,,,69.0,97.27,97.27,14400430,32066,2.8,6.51,45.89,47.6,1260193.0,3859235.0,11190.0,549494.0,171287.0,438960.0,875.0,71589.0,25016117,17633573,14260976,1148168,818234,185,177,88,40328,4,18708,388,375,10,3,11414223,9363105,360618,762043,1469480,6870592,237,9932653,,,,,,360526,318897,18788,2485,118292,239749,0.69,32.81,66.5,2485,61832,4957,32846,12147,11467,8067,29665,1019,3472,20906,11300,1952,2976,3416,10930,61,52334,21606,3430,79915,32,2015215,63695,5,39,269,788,3014,2166,20942,21741,42607,23675,22,27,151,14,37,186,17482,11602,607889,573203,358703,114900.0,723.0,245.0,425.0,5580.0,1862.0,,,39,,,500.0,35450.0,679832.0,446.0,101.0,1952304,1366086,120087,10423.0,1990.0,1978.0,510.0
200,马鞍山市,Maanshan,229,229,74,26050,18977,3.09,4049,213100,92.0,22.0,13.07,6026.0,1130.0,44.19,,,,,,,94.59,100.0,19181000,82695,8.16,4.53,53.59,41.88,1510202.0,2265572.0,116137.0,372347.0,888344.0,1115695.0,57782.0,157854.0,21828659,11575933,16204125,2303030,1966055,489,454,111,1673000,34,248490,1083,1021,31,31,13797359,,223478,866866,2145347,5899493,182,4982837,14289.0,487457,11338.0,5577.0,1126.0,278964,311823,22036,642,169973,108349,0.23,60.93,38.84,642,19617,19485,88392,3331,58633,4424,8253,506,4111,13585,11734,5133,3832,3749,3261,797,23720,10708,921,25349,26,2148741,82120,6,9,105,224,3216,1131,8300,7398,56125,28222,10,12,211,11,46,63,7922,5045,684173,510756,270535,238190.0,1539.0,1578.0,719.0,6388.0,2348.0,1781.0,,,7397.0,6955.0,,51136.0,170519.0,228.0,70.0,2057085,1730715,80274,27100.0,5100.0,,
201,商洛市,Shangluo,251,252,86,31047,19125,4.75,19292,292600,20.0,3.0,0.75,1025.0,280.0,34.0,763.0,4565.0,1648.0,2552.0,0.34,35.0,92.42,96.8,8247670,34674,8,11.47,53.55,34.98,218313.0,2429454.0,10120.0,403075.0,34085.0,373916.0,384.0,72912.0,10605866,7286063,5100487,222400,174951,75,70,21,87811,,2007,282,282,,,3182000,3461000,89000,234000,655000,2149544,154,1111481,,,1668.0,695.0,25.0,204401,248608,8702,1433,86771,116197,0.7,42.45,56.85,1433,7210,135,23158,1548,54855,5680,7191,2816,2218,7069,4939,2023,2230,3268,3813,389,31588,15414,2042,30456,17,908305,53468,2,7,161,399,1330,945,8900,8662,16312,11782,11,16,71,8,12,180,10283,4581,238673,148353,117100,,210.0,111.0,101.0,1622.0,319.0,3293.0,38.0,,3628.0,,,29600.0,778200.0,176.0,34.0,424922,228811,47299,5434.0,1100.0,1988.0,1809.0
202,榆林市,Yulin,384,384,136,56212,22531,8.77,42921,243200,58.0,13.0,0.82,2436.0,956.0,36.0,4786.0,61013.0,45845.0,26229.0,29.48,35.0,94.04,95.12,38486190,112845,9,6,62.82,31.18,3898436.0,6489649.0,61855.0,1103075.0,427562.0,639406.0,7727.0,171953.0,38497635,22022915,20787949,926186,647589,107,102,102,10126,5,8762,860,855,1,4,21398600,,1562500,2570200,12230900,5141141,428,18575561,,,2238.0,1119.0,52.0,436392,157079,10935,2085,178578,255729,0.48,40.92,58.6,2085,74095,10782,60805,15903,27775,15410,20351,5580,3713,6511,3434,4093,4739,6042,19004,803,50657,22889,3599,92338,36,2720114,75264,2,25,192,333,829,2142,17721,16851,16484,20940,17,31,156,27,15,104,16286,7622,372600,423013,276176,,1513.0,767.0,920.0,17424.0,3765.0,2704.0,150.0,209,28799.0,,5527.0,49700.0,310222.0,474.0,83.0,3135084,2585213,90644,30581.0,3576.0,1200.0,980.0
203,黄石市,Huangshi,273,273,78,44182,10995,12.16,4583,264400,80.0,22.0,33.76,2989.0,1075.0,38.55,3477.0,12627.0,23158.0,29959.0,73.86,43.0,92.88,100.0,15873300,64249,7.8,6.03,58.56,35.41,1170158.0,2464970.0,47287.0,391720.0,554076.0,1072469.0,21254.0,144620.0,17320364,9698780,12137330,1491294,1078493,344,323,45,1376795,18,18145,779,736,25,18,11187537,9332928,184798,370391,1149893,8032700,360,6829564,9316.0,297504,6013.0,2702.0,149.0,299759,858646,26554,1054,176134,122571,0.35,58.76,40.89,1054,9903,3269,95843,4313,66075,11118,8406,2911,1859,5455,4665,4144,3916,4535,2252,661,28019,19352,2480,27463,46,2522946,54437,4,10,130,443,2469,687,9746,10705,45773,14027,13,22,176,10,14,42,12535,5973,750709,510134,274063,266217.0,1834.0,1744.0,944.0,13880.0,1022.0,3070.0,,,7780.0,825.0,,79617.0,359900.0,237.0,67.0,1374055,1060222,110312,27926.0,2310.0,26240.0,9256.0
204,衢州市,Quzhou,258,258,95,27000,17829,3.56,8845,806382,77.0,17.0,3.27,2864.0,543.0,43.0,9420.0,12322.0,21294.0,16716.0,99.0,,95.68,100.0,14705816,66936,7.2,5.5,44.99,49.5,1280960.0,3559423.0,110800.0,484551.0,708917.0,1413636.0,47082.0,188947.0,24086302,11676679,22401141,2534321,2138642,271,235,98,1183004,13,7431,873,825,17,31,9164845,,98953,403874,1341776,7174554,417,5295564,9276.0,204805,7533.0,6125.0,667.0,193256,621490,11778,,71389,121867,,36.94,63.06,,273,,46667,6225,18224,4712,4605,1718,2842,20268,19820,839,2311,2282,1199,305,25965,16199,1588,37034,16,1662729,105793,2,14,95,200,702,1631,9189,8922,14413,26338,11,13,301,4,49,84,12571,7294,831394,674349,321541,176808.0,1266.0,1464.0,392.0,4382.0,521.0,3966.0,2.0,25,13162.0,4.0,750.0,73785.0,175824.0,253.0,90.0,1717558,1318494,77716,14797.0,1499.0,2961.0,2660.0
